"id","story","title","frame"
"438","390","第五十章 圣人怎么说来着？",
"439","390","第五十一章 忘了点什么",
"440","390","第五十二章 骂谁好人呢！（感谢氵贪吃书友打赏的盟主）",
"441","390","第五十三章 魔教扩招",
"442","390","第五十四章 起店名",
"443","390","第五十五章 生意兴隆",
"444","390","第五十六章 当小弟的要严格执行老大的命令",
"445","390","第五十七章 收获",
"446","390","第五十八章 象形拳不是这么打的",
"447","390","第五十九章 陆氏象形拳",
"448","390","第六十章 捕快与小偷",
"449","390","第六十一章 这么主动的业绩可不多见",
"450","390","第六十二章 据点的位置",
"451","390","第六十三章 小心，对方很诡异",
"452","390","第六十四章 影子",
"453","390","第六十五章 考官",
"454","390","第六十六章 脑子不灵活的不建议进入魔教",
"3347","513","写在连载前",
"456","390","第六十七章 我们都是为了魔教着想",
"457","390","第六十八章 正确的通关方式",
"458","390","第六十九章 错误的通关方式",
"459","390","第七十章 第二道考验（感谢天穹云海书友打赏的盟主，为平静的生活盟主加更）",
"460","390","第七十一章 真心实意（感谢宅菜大佬打赏的白银盟）",
"461","390","第七十二章 魔教三杰（感谢贫乳萝莉、上仙齐天二位书友打赏的盟主）",
"462","390","第七十三章 正道卧底",
"463","390","第七十四章 象形拳的终极招式（感谢书友大川爸爸打赏的盟主）",
"464","390","第七十五章 逃命！",
"465","390","第七十六章 评价",
"466","390","第七十七章 店主呢，出来！",
"467","390","第七十八章 正魔一家亲",
"468","390","第七十九章 不朽仙人",
"469","390","第八十章 星辰与大陆",
"470","390","第八十一章 石子暗器",
"471","390","第八十二章 如实汇报",
"472","390","第八十三章 兰亭的秘密任务",
"473","390","第八十四章 前门大街豆腐店",
"474","390","第八十五章 逆寿元符（为盟主星辰难免加更）",
"475","390","第八十六章 藏在官府中的卧底（感谢左拥祖国右抱孔代舰仙古月打赏的盟主）",
"476","390","第八十七章 学习隐身符",
"477","390","第八十八章 兰亭的成长",
"478","390","第八十九章 不建议魔道修士来烧烤店吃饭",
"479","390","第九十章 讯问笔录",
"480","390","第九十一章 太阳熄灭以后就是月亮",
"481","390","第九十二章 修仙者坊市",
"482","390","第九十三章 算卦",
"483","390","第九十四章 难道这本书就是传说中那本隐藏着……",
"484","390","第九十五章 不朽教怎么可能有正道卧底！",
"485","390","第九十六章 长假",
"486","390","第九十七章 刻舟求什么来着？（感谢书友魁魈魃鬾打赏的盟主）",
"487","390","第九十八章 保底方案",
"488","390","第九十九章 商会威力最大的武器",
"489","390","第一百章 这就是惊喜？（求月票）",
"490","390","第一百零一章 瞎话张口就来",
"491","390","第一百零二章 你们的任务是潜入问道宗",
"492","390","第一百零三章 好像叫对仙名了……",
"493","390","第一百零四章 还是要靠大师姐",
"494","390","第一百零五章 倒霉的不朽仙子",
"495","390","第一百零六章 凯旋而归",
"496","390","第一百零七章 儒修使用的武器",
"497","390","第一百零八章 揭下此符，为师就能出来了",
"498","390","第一百零九章 不语道人的往事",
"499","390","第一百一十章 古言翻译",
"500","390","第一百一十一章 就这样还想被放出来？",
"501","390","第一百一十二章 不语道人被囚禁的原因",
"502","390","第一百一十三章 陆阳三问",
"503","390","第一百一十四章 大师姐，我学会了吗？",
"504","390","第一百一十五章 不做烧烤屈才了",
"505","390","第一百一十六章 有难同当",
"506","390","第一百一十七章 我是心魔",
"507","390","第一百一十八章 不朽仙子苏醒",
"508","390","第一百一十九章 让你见识见识仙人的眼力！",
"509","390","第一百二十章 上古奇闻",
"510","390","第一百二十一章 坟墓",
"511","390","第一百二十二章 鉴定类法器",
"512","390","第一百二十三章 墓穴主人",
"513","390","第一百二十四章 大长老",
"514","390","请假条",
"515","390","第一百二十五章 问道宗九子齐聚一堂",
"516","390","第一百二十六章 青锋剑的小饰品",
"517","390","第一百二十七章 御剑飞行",
"518","390","第一百二十八章 五大仙门的秘密会议",
"519","390","第一百二十九章 不语道人脱困",
"520","390","第一百三十章 【规则】",
"521","390","第一百三十一章 危险的一夜（求月票）",
"522","390","第一百三十二章 危机四伏",
"523","390","第一百三十三章 尸体活动是正常现象",
"524","390","第一百三十四章 立场翻转（第三更求月票）",
"525","390","第一百三十五章 药铺",
"526","390","第一百三十六章 没办法通关？",
"527","390","第一百三十七章 被玩弄的衙役们（感谢书友好多大象啊打赏的盟主）",
"528","390","第一百三十八章 都在算计（感谢书友BuiBuibui打赏的盟主）",
"529","390","第一百三十九章 谁才是猎人？",
"530","390","第一百四十章 在我黄豆豆面前谈夺舍？",
"531","390","第一百四十一章 仙人之威",
"532","390","第一百四十二章 成功离开布衣镇",
"533","390","第一百四十三章 正处于幻想阶段的陆阳（感谢神影雷鸣打赏的盟主）",
"534","390","第一百四十四章 原来我在的时候你们很拘谨？",
"535","390","第一百四十五章 五大仙门最强者",
"536","390","第一百四十六章 赤子之心",
"537","390","第一百四十七章 上古五仙",
"538","390","第一百四十八章 三立洞天",
"539","390","第一百四十九章 古代渡劫期",
"540","390","第一百五十章 应天仙这孙子",
"541","390","第一百五十一章 六长老（求月票）",
"542","390","第一百五十二章 《种树诀》",
"543","390","第一百五十三章 植物人",
"544","390","第一百五十四章 黄豆豆购物",
"545","390","第一百五十五章 这不巧了吗？",
"546","390","请假条",
"547","390","第一百五十六章 谨慎的蛮骨",
"548","390","第一百五十七章 上次五行宗是怎么输的？",
"549","390","第一百五十八章 不朽仙子的金手指",
"550","390","第一百五十九章 终于找到当初卖假题的了",
"551","390","第一百六十章 不朽仙子的言出法随",
"552","390","第一百六十一章 五行宗来访",
"553","390","第一百六十二章 应天仙著",
"554","390","第一百六十三章 你们问道宗欺人太甚！",
"555","390","第一百六十四章 让你们问道宗最优秀的弟子出来！",
"556","390","第一百六十五章 不朽仙子的考验",
"557","390","第一百六十六章 比赛解说",
"558","390","第一百六十七章 儒修对儒修",
"559","390","第一百六十八章 陆阳出战（加更求月票）",
"560","390","第一百六十九章 五行法术对拼",
"561","390","第一百七十章 避水诀",
"562","390","第一百七十一章 此行有不朽仙人庇佑（感谢沉沦之魔打赏的盟主）",
"563","390","第一百七十二章 敬业的不朽教高层",
"564","390","第一百七十三章 这玩意好像比在不朽教干还挣钱",
"565","390","第一百七十四章 动手！",
"566","390","第一百七十五章 豆腐天尊！",
"567","390","第一百七十六章 上官羽",
"568","390","第一百七十七章 黄粱枕",
"569","390","第一百七十八章 本仙名叫黄豆豆",
"570","390","第一百七十九章 上古大神通——撒豆成兵",
"571","390","第一百八十章 陆师弟，你还有什么未了的心愿吗？",
"572","390","第一百八十一章 不是一家人，不进一家门",
"573","390","第一百八十二章 预知未来",
"574","390","请假条",
"575","390","第一百八十三章 最强伥鬼",
"576","390","第一百八十四章 不朽仙人",
"577","390","第一百八十五章 大师姐的计划",
"578","390","第一百八十六章 一切都在计划中",
"579","390","第一百八十七章 考虑周全的教主",
"580","390","第一百八十八章 演习",
"581","390","第一百八十九章 响当当的人物",
"582","390","第一百九十章 大机缘！",
"583","390","第一百九十一章 魔刀",
"584","390","第一百九十二章 六合八荒仙功",
"585","390","第一百九十三章 合体！",
"586","390","第一百九十四章 孩子，你有什么心愿？",
"587","390","第一百九十五章 不朽道果雏形",
"588","390","第一百九十六章 你的精神空间为什么这么多人！",
"589","390","第一百九十七章 坦白从宽",
"590","390","第一百九十八章 幕后之人",
"591","390","第一百九十九章 会是谁所为？",
"592","390","第二百章 我还是个婴儿！",
"593","390","第二百零一章 演习都是有作用的",
